line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
1003,"He has also brotherly pride,
which, with some brotherly affection, makes him a very kind and
careful guardian of his sister; and you will hear him generally cried up
as the most attentive and best of brothers.”

“What sort of a girl is Miss Darcy?”

He shook his head.","he has also brotherly pride, which, with some brotherly affection, makes him a very kind and careful guardian of his sister; and you will hear him generally cried up as the most attentive and best of brothers."" ""what sort of a girl is miss darcy?"" he shook his head.",279,270,,
1004,“I wish I could call her amiable.,"""i wish i could call her amiable.",33,33,,
1005,"It gives me pain to
speak ill of a Darcy; but she is too much like her brother,--very, very
proud.","it gives me pain to speak ill of a darcy; but she is too much like her brother,--very, very proud.",100,98,,
1006,"As a child, she was affectionate and pleasing, and extremely fond
of me; and I have devoted hours and hours to her amusement.","as a child, she was affectionate and pleasing, and extremely fond of me; and i have devoted hours and hours to her amusement.",126,125,,
1007,"But she is
nothing to me now.",but she is nothing to me now.,30,29,,
1008,"She is a handsome girl, about fifteen or sixteen,
and, I understand, highly accomplished.","she is a handsome girl, about fifteen or sixteen, and, i understand, highly accomplished.",90,89,,
1009,"Since her father’s death her
home has been London, where a lady lives with her, and superintends her
education.”

After many pauses and many trials of other subjects, Elizabeth could not
help reverting once more to the first, and saying,--

“I am astonished at his intimacy with Mr. Bingley.","since her father's death her home has been london, where a lady lives with her, and superintends her education."" after many pauses and many trials of other subjects, elizabeth could not help reverting once more to the first, and saying,-- ""i am astonished at his intimacy with mr. bingley.",298,289,,
1010,"How can Mr. Bingley,
who seems good-humour itself, and is, I really believe, truly amiable,
be in friendship with such a man?","how can mr. bingley, who seems good-humour itself, and is, i really believe, truly amiable, be in friendship with such a man?",127,125,,
1011,How can they suit each other?,how can they suit each other?,29,29,,
1012,"Do you
know Mr. Bingley?”

“Not at all.”

“He is a sweet-tempered, amiable, charming man.","do you know mr. bingley?"" ""not at all."" ""he is a sweet-tempered, amiable, charming man.",94,87,,
1013,"He cannot know what Mr.
Darcy is.”

“Probably not; but Mr. Darcy can please where he chooses.","he cannot know what mr. darcy is."" ""probably not; but mr. darcy can please where he chooses.",96,92,,
1014,"He does not
want abilities.",he does not want abilities.,28,27,,
1015,"He can be a conversible companion if he thinks it worth
his while.",he can be a conversible companion if he thinks it worth his while.,67,66,,
1016,"Among those who are at all his equals in consequence, he is a
very different man from what he is to the less prosperous.","among those who are at all his equals in consequence, he is a very different man from what he is to the less prosperous.",121,120,,
1017,"His pride
never deserts him; but with the rich he is liberal-minded, just,
sincere, rational, honourable, and, perhaps, agreeable,--allowing
something for fortune and figure.”

The whist party soon afterwards breaking up, the players gathered round
the other table, and Mr. Collins took his station between his cousin
Elizabeth and Mrs. Philips.","his pride never deserts him; but with the rich he is liberal-minded, just, sincere, rational, honourable, and, perhaps, agreeable,--allowing something for fortune and figure."" the whist party soon afterwards breaking up, the players gathered round the other table, and mr. collins took his station between his cousin elizabeth and mrs. philips.",352,344,,
1018,"The usual inquiries as to his success were
made by the latter.",the usual inquiries as to his success were made by the latter.,63,62,,
1019,"It had not been very great; he had lost every point;
but when Mrs. Philips began to express her concern thereupon, he assured
her, with much earnest gravity, that it was not of the least importance;
that he considered the money as a mere trifle, and begged she would not
make herself uneasy.","it had not been very great; he had lost every point; but when mrs. philips began to express her concern thereupon, he assured her, with much earnest gravity, that it was not of the least importance; that he considered the money as a mere trifle, and begged she would not make herself uneasy.",295,291,,
1020,"“I know very well, madam,” said he, “that when persons sit down to a
card table they must take their chance of these things,--and happily I
am not in such circumstances as to make five shillings any object.","""i know very well, madam,"" said he, ""that when persons sit down to a card table they must take their chance of these things,--and happily i am not in such circumstances as to make five shillings any object.",208,206,,
1021,"There
are, undoubtedly, many who could not say the same; but, thanks to Lady
Catherine de Bourgh, I am removed far beyond the necessity of regarding
little matters.”

Mr. Wickham’s attention was caught; and after observing Mr. Collins for
a few moments, he asked Elizabeth in a low voice whether her relations
were very intimately acquainted with the family of De Bourgh.","there are, undoubtedly, many who could not say the same; but, thanks to lady catherine de bourgh, i am removed far beyond the necessity of regarding little matters."" mr. wickham's attention was caught; and after observing mr. collins for a few moments, he asked elizabeth in a low voice whether her relations were very intimately acquainted with the family of de bourgh.",378,370,,
1022,"“Lady Catherine de Bourgh,” she replied, “has very lately given him a
living.","""lady catherine de bourgh,"" she replied, ""has very lately given him a living.",78,77,,
1023,"I hardly know how Mr. Collins was first introduced to her
notice, but he certainly has not known her long.”

“You know of course that Lady Catherine de Bourgh and Lady Anne Darcy
were sisters; consequently that she is aunt to the present Mr. Darcy.”

“No, indeed, I did not.","i hardly know how mr. collins was first introduced to her notice, but he certainly has not known her long."" ""you know of course that lady catherine de bourgh and lady anne darcy were sisters; consequently that she is aunt to the present mr. darcy."" ""no, indeed, i did not.",280,272,,
1024,"I knew nothing at all of Lady Catherine’s
connections.",i knew nothing at all of lady catherine's connections.,55,54,,
1025,"I never heard of her existence till the day before
yesterday.”

“Her daughter, Miss de Bourgh, will have a very large fortune, and it is
believed that she and her cousin will unite the two estates.”

This information made Elizabeth smile, as she thought of poor Miss
Bingley.","i never heard of her existence till the day before yesterday."" ""her daughter, miss de bourgh, will have a very large fortune, and it is believed that she and her cousin will unite the two estates."" this information made elizabeth smile, as she thought of poor miss bingley.",282,273,,
1026,"Vain indeed must be all her attentions, vain and useless her
affection for his sister and her praise of himself, if he were already
self-destined to another.","vain indeed must be all her attentions, vain and useless her affection for his sister and her praise of himself, if he were already self-destined to another.",159,157,,
1027,“Mr.,"""mr.",4,4,,
1028,"Collins,” said she, “speaks highly both of Lady Catherine and her
daughter; but, from some particulars that he has related of her
Ladyship, I suspect his gratitude misleads him; and that, in spite of
her being his patroness, she is an arrogant, conceited woman.”

“I believe her to be both in a great degree,” replied Wickham; “I have
not seen her for many years; but I very well remember that I never liked
her, and that her manners were dictatorial and insolent.","collins,"" said she, ""speaks highly both of lady catherine and her daughter; but, from some particulars that he has related of her ladyship, i suspect his gratitude misleads him; and that, in spite of her being his patroness, she is an arrogant, conceited woman."" ""i believe her to be both in a great degree,"" replied wickham; ""i have not seen her for many years; but i very well remember that i never liked her, and that her manners were dictatorial and insolent.",471,463,,
1029,"She has the
reputation of being remarkably sensible and clever; but I rather believe
she derives part of her abilities from her rank and fortune, part from
her authoritative manner, and the rest from the pride of her nephew, who
chooses that everyone connected with him should have an understanding of
the first class.”

Elizabeth allowed that he had given a very rational account of it, and
they continued talking together with mutual satisfaction till supper put
an end to cards, and gave the rest of the ladies their share of Mr.
Wickham’s attentions.","she has the reputation of being remarkably sensible and clever; but i rather believe she derives part of her abilities from her rank and fortune, part from her authoritative manner, and the rest from the pride of her nephew, who chooses that everyone connected with him should have an understanding of the first class."" elizabeth allowed that he had given a very rational account of it, and they continued talking together with mutual satisfaction till supper put an end to cards, and gave the rest of the ladies their share of mr. wickham's attentions.",564,553,,
1030,"There could be no conversation in the noise of
Mrs. Philips’s supper party, but his manners recommended him to
everybody.","there could be no conversation in the noise of mrs. philips's supper party, but his manners recommended him to everybody.",123,121,,
1031,"Whatever he said, was said well; and whatever he did, done
gracefully.","whatever he said, was said well; and whatever he did, done gracefully.",71,70,,
1032,Elizabeth went away with her head full of him.,elizabeth went away with her head full of him.,46,46,,
1033,"She could
think of nothing but of Mr. Wickham, and of what he had told her, all
the way home; but there was not time for her even to mention his name as
they went, for neither Lydia nor Mr. Collins were once silent.","she could think of nothing but of mr. wickham, and of what he had told her, all the way home; but there was not time for her even to mention his name as they went, for neither lydia nor mr. collins were once silent.",218,215,,
1034,"Lydia
talked incessantly of lottery tickets, of the fish she had lost and the
fish she had won; and Mr. Collins, in describing the civility of Mr. and
Mrs. Philips, protesting that he did not in the least regard his losses
at whist, enumerating all the dishes at supper, and repeatedly fearing
that he crowded his cousins, had more to say than he could well manage
before the carriage stopped at Longbourn House.","lydia talked incessantly of lottery tickets, of the fish she had lost and the fish she had won; and mr. collins, in describing the civility of mr. and mrs. philips, protesting that he did not in the least regard his losses at whist, enumerating all the dishes at supper, and repeatedly fearing that he crowded his cousins, had more to say than he could well manage before the carriage stopped at longbourn house.",418,412,,
1035,"[Illustration:

     “delighted to see their dear friend again”
]




CHAPTER XVII.","[illustration: ""delighted to see their dear friend again"" ] chapter xvii.",91,73,,
1036,"Elizabeth related to Jane, the next day, what had passed between Mr.
Wickham and herself.","elizabeth related to jane, the next day, what had passed between mr. wickham and herself.",90,89,,
1037,"Jane listened with astonishment and concern: she
knew not how to believe that Mr. Darcy could be so unworthy of Mr.
Bingley’s regard; and yet it was not in her nature to question the
veracity of a young man of such amiable appearance as Wickham.",jane listened with astonishment and concern: she knew not how to believe that mr. darcy could be so unworthy of mr. bingley's regard, and yet it was not in her nature to question the veracity of a young man of such amiable appearance as wickham.,248,245,
1038,"The
possibility of his having really endured such unkindness was enough to
interest all her tender feelings; and nothing therefore remained to be
done but to think well of them both, to defend the conduct of each, and
throw into the account of accident or mistake whatever could not be
otherwise explained.","the possibility of his having really endured such unkindness was enough to interest all her tender feelings; and nothing therefore remained to be done but to think well of them both, to defend the conduct of each, and throw into the account of accident or mistake whatever could not be otherwise explained.",311,306,,
1039,"“They have both,” said she, “been deceived, I dare say, in some way or
other, of which we can form no idea.","""they have both,"" said she, ""been deceived, i dare say, in some way or other, of which we can form no idea.",108,107,,
1040,"Interested people have perhaps
misrepresented each to the other.",interested people have perhaps misrepresented each to the other.,65,64,,
1041,"It is, in short, impossible for us to
conjecture the causes or circumstances which may have alienated them,
without actual blame on either side.”

“Very true, indeed; and now, my dear Jane, what have you got to say in
behalf of the interested people who have probably been concerned in the
business?","it is, in short, impossible for us to conjecture the causes or circumstances which may have alienated them, without actual blame on either side."" ""very true, indeed; and now, my dear jane, what have you got to say in behalf of the interested people who have probably been concerned in the business?",305,298,,
1042,"Do clear them_, too, or we shall be obliged to think ill of
somebody.”

“Laugh as much as you choose, but you will not laugh me out of my
opinion.","do clear them_, too, or we shall be obliged to think ill of somebody."" ""laugh as much as you choose, but you will not laugh me out of my opinion.",151,146,,
1043,"My dearest Lizzy, do but consider in what a disgraceful light
it places Mr. Darcy, to be treating his father’s favourite in such a
manner,--one whom his father had promised to provide for.","my dearest lizzy, do but consider in what a disgraceful light it places mr. darcy, to be treating his father's favourite in such a manner,--one whom his father had promised to provide for.",190,188,,
1044,"It is
impossible.",it is impossible.,18,17,,
1045,"No man of common humanity, no man who had any value for his
character, could be capable of it.","no man of common humanity, no man who had any value for his character, could be capable of it.",95,94,,
1046,"Can his most intimate friends be so
excessively deceived in him?",can his most intimate friends be so excessively deceived in him?,65,64,,
1047,"Oh no.”

“I can much more easily believe Mr. Bingley’s being imposed on than that
Mr. Wickham should invent such a history of himself as he gave me last
night; names, facts, everything mentioned without ceremony.","oh no."" ""i can much more easily believe mr. bingley's being imposed on than that mr. wickham should invent such a history of himself as he gave me last night; names, facts, everything mentioned without ceremony.",216,211,,
1048,"If it be not
so, let Mr. Darcy contradict it.","if it be not so, let mr. darcy contradict it.",46,45,,
1049,"Besides, there was truth in his looks.”

“It is difficult, indeed--it is distressing.","besides, there was truth in his looks."" ""it is difficult, indeed--it is distressing.",87,84,,
1050,"One does not know what to
think.”

“I beg your pardon;--one knows exactly what to think.”

But Jane could think with certainty on only one point,--that Mr.
Bingley, if he had been imposed on, would have much to suffer when
the affair became public.","one does not know what to think."" ""i beg your pardon;--one knows exactly what to think."" but jane could think with certainty on only one point,--that mr. bingley, if he had been imposed on, would have much to suffer when the affair became public.",257,248,,
1051,"The two young ladies were summoned from the shrubbery, where this
conversation passed, by the arrival of some of the very persons of whom
they had been speaking; Mr. Bingley and his sisters came to give their
personal invitation for the long expected ball at Netherfield, which was
fixed for the following Tuesday.","the two young ladies were summoned from the shrubbery, where this conversation passed, by the arrival of some of the very persons of whom they had been speaking; mr. bingley and his sisters came to give their personal invitation for the long expected ball at netherfield, which was fixed for the following tuesday.",318,314,,
1052,"The two ladies were delighted to see
their dear friend again, called it an age since they had met, and
repeatedly asked what she had been doing with herself since their
separation.","the two ladies were delighted to see their dear friend again, called it an age since they had met, and repeatedly asked what she had been doing with herself since their separation.",183,180,,
1053,"To the rest of the family they paid little attention;
avoiding Mrs. Bennet as much as possible, saying not much to Elizabeth,
and nothing at all to the others.","to the rest of the family they paid little attention; avoiding mrs. bennet as much as possible, saying not much to elizabeth, and nothing at all to the others.",161,159,,
1054,"They were soon gone again, rising from
their seats with an activity which took their brother by surprise, and
hurrying off as if eager to escape from Mrs. Bennet’s civilities.","they were soon gone again, rising from their seats with an activity which took their brother by surprise, and hurrying off as if eager to escape from mrs. bennet's civilities.",177,175,,
1055,"The prospect of the Netherfield ball was extremely agreeable to every
female of the family.",the prospect of the netherfield ball was extremely agreeable to every female of the family.,92,91,,
1056,"Mrs. Bennet chose to consider it as given in
compliment to her eldest daughter, and was particularly flattered by
receiving the invitation from Mr. Bingley himself, instead of a
ceremonious card.","mrs. bennet chose to consider it as given in compliment to her eldest daughter, and was particularly flattered by receiving the invitation from mr. bingley himself, instead of a ceremonious card.",198,195,,
1057,"Jane pictured to herself a happy evening in the
society of her two friends, and the attentions of their brother; and
Elizabeth thought with pleasure of dancing a great deal with Mr.
Wickham, and of seeing a confirmation of everything in Mr. Darcy’s look
and behaviour.","jane pictured to herself a happy evening in the society of her two friends, and the attentions of their brother; and elizabeth thought with pleasure of dancing a great deal with mr. wickham, and of seeing a confirmation of everything in mr. darcy's look and behaviour.",272,268,,
1058,"The happiness anticipated by Catherine and Lydia depended
less on any single event, or any particular person; for though they
each, like Elizabeth, meant to dance half the evening with Mr. Wickham,
he was by no means the only partner who could satisfy them, and a ball
was, at any rate, a ball.","the happiness anticipated by catherine and lydia depended less on any single event, or any particular person; for though they each, like elizabeth, meant to dance half the evening with mr. wickham, he was by no means the only partner who could satisfy them, and a ball was, at any rate, a ball.",298,294,,
1059,"And even Mary could assure her family that she
had no disinclination for it.",and even mary could assure her family that she had no disinclination for it.,77,76,,
1060,"“While I can have my mornings to myself,” said she, “it is enough.","""while i can have my mornings to myself,"" said she, ""it is enough.",66,66,,
1061,"I
think it is no sacrifice to join occasionally in evening engagements.",i think it is no sacrifice to join occasionally in evening engagements.,72,71,,
1062,"Society has claims on us all; and I profess myself one of those who
consider intervals of recreation and amusement as desirable for
everybody.”

Elizabeth’s spirits were so high on the occasion, that though she did
not often speak unnecessarily to Mr. Collins, she could not help asking
him whether he intended to accept Mr. Bingley’s invitation, and if he
did, whether he would think it proper to join in the evening’s
amusement; and she was rather surprised to find that he entertained no
scruple whatever on that head, and was very far from dreading a rebuke,
either from the Archbishop or Lady Catherine de Bourgh, by venturing to
dance.","society has claims on us all; and i profess myself one of those who consider intervals of recreation and amusement as desirable for everybody."" elizabeth's spirits were so high on the occasion, that though she did not often speak unnecessarily to mr. collins, she could not help asking him whether he intended to accept mr. bingley's invitation, and if he did, whether he would think it proper to join in the evening's amusement; and she was rather surprised to find that he entertained no scruple whatever on that head, and was very far from dreading a rebuke, either from the archbishop or lady catherine de bourgh, by venturing to dance.",652,640,,
1063,"“I am by no means of opinion, I assure you,” said he, “that a ball of
this kind, given by a young man of character, to respectable people, can
have any evil tendency; and I am so far from objecting to dancing
myself, that I shall hope to be honoured with the hands of all my fair
cousins in the course of the evening; and I take this opportunity of
soliciting yours, Miss Elizabeth, for the two first dances especially; a
preference which I trust my cousin Jane will attribute to the right
cause, and not to any disrespect for her.”

Elizabeth felt herself completely taken in.","""i am by no means of opinion, i assure you,"" said he, ""that a ball of this kind, given by a young man of character, to respectable people, can have any evil tendency; and i am so far from objecting to dancing myself, that i shall hope to be honoured with the hands of all my fair cousins in the course of the evening; and i take this opportunity of soliciting yours, miss elizabeth, for the two first dances especially; a preference which i trust my cousin jane will attribute to the right because, and not to any disrespect for her."" elizabeth felt herself completely taken in.",586,578,,
1064,"She had fully proposed being
engaged by Wickham for those very dances; and to have Mr. Collins
instead!--her liveliness had been never worse timed.",she had fully proposed being engaged by wickham for those very dances, and to have mr. collins instead!--her liveliness had been never worse timed.,149,147,
1065,"There was no help
for it, however.","there was no help for it, however.",35,34,,
1066,"Mr. Wickham’s happiness and her own was perforce
delayed a little longer, and Mr. Collins’s proposal accepted with as
good a grace as she could.","mr. wickham's happiness and her own was perforce delayed a little longer, and mr. collins's proposal accepted with as good a grace as she could.",146,144,,
1067,"She was not the better pleased with his
gallantry, from the idea it suggested of something more.","she was not the better pleased with his gallantry, from the idea it suggested of something more.",97,96,,
1068,"It now first
struck her, that she was selected from among her sisters as worthy of
being the mistress of Hunsford Parsonage, and of assisting to form a
quadrille table at Rosings, in the absence of more eligible visitors.","it now first struck her, that she was selected from among her sisters as worthy of being the mistress of hunsford parsonage, and of assisting to form a quadrille table at rosings, in the absence of more eligible visitors.",226,223,,
1069,"The idea soon reached to conviction, as she observed his increasing
civilities towards herself, and heard his frequent attempt at a
compliment on her wit and vivacity; and though more astonished than
gratified herself by this effect of her charms, it was not long before
her mother gave her to understand that the probability of their marriage
was exceedingly agreeable to her_.","the idea soon reached to conviction, as she observed his increasing civilities towards herself, and heard his frequent attempt at a compliment on her wit and vivacity; and though more astonished than gratified herself by this effect of her charms, it was not long before her mother gave her to understand that the probability of their marriage was exceedingly agreeable to her_.",384,379,,
1070,"Elizabeth, however, did not choose
to take the hint, being well aware that a serious dispute must be the
consequence of any reply.","elizabeth, however, did not choose to take the hint, being well aware that a serious dispute must be the consequence of any reply.",132,130,,
1071,"Mr. Collins might never make the offer, and,
till he did, it was useless to quarrel about him.","mr. collins might never make the offer, and, till he did, it was useless to quarrel about him.",95,94,,
1072,"If there had not been a Netherfield ball to prepare for and talk of, the
younger Miss Bennets would have been in a pitiable state at this time;
for, from the day of the invitation to the day of the ball, there was
such a succession of rain as prevented their walking to Meryton once.","if there had not been a netherfield ball to prepare for and talk of, the younger miss bennets would have been in a pitiable state at this time; for, from the day of the invitation to the day of the ball, there was such a succession of rain as prevented their walking to meryton once.",286,283,,
1073,"No
aunt, no officers, no news could be sought after; the very shoe-roses
for Netherfield were got by proxy.","no aunt, no officers, no news could be sought after; the very shoe-roses for netherfield were got by proxy.",109,107,,
1074,"Even Elizabeth might have found some
trial of her patience in weather which totally suspended the improvement
of her acquaintance with Mr. Wickham; and nothing less than a dance on
Tuesday could have made such a Friday, Saturday, Sunday, and Monday
endurable to Kitty and Lydia.","even elizabeth might have found some trial of her patience in weather which totally suspended the improvement of her acquaintance with mr. wickham; and nothing less than a dance on tuesday could have made such a friday, saturday, sunday, and monday endurable to kitty and lydia.",282,278,,
1075,CHAPTER XVIII.,chapter xviii.,14,14,,
1076,"Till Elizabeth entered the drawing-room at Netherfield, and looked in
vain for Mr. Wickham among the cluster of red coats there assembled, a
doubt of his being present had never occurred to her.","till elizabeth entered the drawing-room at netherfield, and looked in vain for mr. wickham among the cluster of red coats there assembled, a doubt of his being present had never occurred to her.",196,194,,
1077,"The certainty of
meeting him had not been checked by any of those recollections that
might not unreasonably have alarmed her.",the certainty of meeting him had not been checked by any of those recollections that might not unreasonably have alarmed her.,127,125,,
1078,"She had dressed with more than
usual care, and prepared in the highest spirits for the conquest of all
that remained unsubdued of his heart, trusting that it was not more than
might be won in the course of the evening.","she had dressed with more than usual care, and prepared in the highest spirits for the conquest of all that remained unsubdued of his heart, trusting that it was not more than might be won in the course of the evening.",221,218,,
1079,"But in an instant arose the
dreadful suspicion of his being purposely omitted, for Mr. Darcy’s
pleasure, in the Bingleys’ invitation to the officers; and though this
was not exactly the case, the absolute fact of his absence was
pronounced by his friend Mr. Denny, to whom Lydia eagerly applied, and
who told them that Wickham had been obliged to go to town on business
the day before, and was not yet returned; adding, with a significant
smile,--

“I do not imagine his business would have called him away just now, if
he had not wished to avoid a certain gentleman here.”

This part of his intelligence, though unheard by Lydia, was caught by
Elizabeth; and, as it assured her that Darcy was not less answerable for
Wickham’s absence than if her first surmise had been just, every feeling
of displeasure against the former was so sharpened by immediate
disappointment, that she could hardly reply with tolerable civility to
the polite inquiries which he directly afterwards approached to make.","but in an instant arose the dreadful suspicion of his being purposely omitted, for mr. darcy's pleasure, in the bingleys' invitation to the officers; and though this was not exactly the case, the absolute fact of his absence was pronounced by his friend mr. denny, to whom lydia eagerly applied, and who told them that wickham had been obliged to go to town on business the day before, and was not yet returned; adding, with a significant smile,-- ""i do not imagine his business would have called him away just now, if he had not wished to avoid a certain gentleman here."" this part of his intelligence, though unheard by lydia, was caught by elizabeth; and, as it assured her that darcy was not less answerable for wickham's absence than if her first surmise had been just, every feeling of displeasure against the former was so sharpened by immediate disappointment, that she could hardly reply with tolerable civility to the polite inquiries which he directly afterwards approached to make.",1012,993,,
1080,"Attention, forbearance, patience with Darcy, was injury to Wickham.","attention, forbearance, patience with darcy, was injury to wickham.",67,67,,
1081,"She
was resolved against any sort of conversation with him, and turned away
with a degree of ill-humour which she could not wholly surmount even in
speaking to Mr. Bingley, whose blind partiality provoked her.","she was resolved against any sort of conversation with him, and turned away with a degree of ill-humour which she could not wholly surmount even in speaking to mr. bingley, whose blind partiality provoked her.",212,209,,
1082,"But Elizabeth was not formed for ill-humour; and though every prospect
of her own was destroyed for the evening, it could not dwell long on her
spirits; and, having told all her griefs to Charlotte Lucas, whom she
had not seen for a week, she was soon able to make a voluntary
transition to the oddities of her cousin, and to point him out to her
particular notice.","but elizabeth was not formed for ill-humour; and though every prospect of her own was destroyed for the evening, it could not dwell long on her spirits; and, having told all her griefs to charlotte lucas, whom she had not seen for a week, she was soon able to make a voluntary transition to the oddities of her cousin, and to point him out to her particular notice.",370,365,,
1083,"The two first dances, however, brought a return of
distress: they were dances of mortification.","the two first dances, however, brought a return of distress: they were dances of mortification.",96,95,,
1084,"Mr. Collins, awkward and
solemn, apologizing instead of attending, and often moving wrong
without being aware of it, gave her all the shame and misery which a
disagreeable partner for a couple of dances can give.","mr. collins, awkward and solemn, apologizing instead of attending, and often moving wrong without being aware of it, gave her all the shame and misery which a disagreeable partner for a couple of dances can give.",215,212,,
1085,"The moment of her
release from him was ecstasy.",the moment of her release from him was ecstasy.,48,47,,
1086,"She danced next with an officer, and had the refreshment of talking of
Wickham, and of hearing that he was universally liked.","she danced next with an officer, and had the refreshment of talking of wickham, and of hearing that he was universally liked.",126,125,,
1087,"When those dances
were over, she returned to Charlotte Lucas, and was in conversation with
her, when she found herself suddenly addressed by Mr. Darcy, who took
her so much by surprise in his application for her hand, that, without
knowing what she did, she accepted him.","when those dances were over, she returned to charlotte lucas, and was in conversation with her, when she found herself suddenly addressed by mr. darcy, who took her so much by surprise in his application for her hand, that, without knowing what she did, she accepted him.",275,271,,
1088,"He walked away again
immediately, and she was left to fret over her own want of presence of
mind: Charlotte tried to console her.","he walked away again immediately, and she was left to fret over her own want of presence of mind: charlotte tried to console her.",131,129,,
1089,"“I dare say you will find him very agreeable.”

“Heaven forbid!","""i dare say you will find him very agreeable."" ""heaven forbid!",65,62,,
1090,_That would be the greatest misfortune of all!,_that would be the greatest misfortune of all!,47,47,,
1091,"To find
a man agreeable whom one is determined to hate!",to find a man agreeable whom one is determined to hate!,56,55,,
1092,"Do not wish me such an
evil.”

When the dancing recommenced, however, and Darcy approached to claim her
hand, Charlotte could not help cautioning her, in a whisper, not to be a
simpleton, and allow her fancy for Wickham to make her appear unpleasant
in the eyes of a man often times his consequence.","do not wish me such an evil."" when the dancing recommenced, however, and darcy approached to claim her hand, charlotte could not help cautioning her, in a whisper, not to be a simpleton, and allow her fancy for wickham to make her appear unpleasant in the eyes of a man often times his consequence.",305,298,,
1093,"Elizabeth made no
answer, and took her place in the set, amazed at the dignity to which
she was arrived in being allowed to stand opposite to Mr. Darcy, and
reading in her neighbours’ looks their equal amazement in beholding it.","elizabeth made no answer, and took her place in the set, amazed at the dignity to which she was arrived in being allowed to stand opposite to mr. darcy, and reading in her neighbours' looks their equal amazement in beholding it.",231,228,,
1094,"They stood for some time without speaking a word; and she began to
imagine that their silence was to last through the two dances, and, at
first, was resolved not to break it; till suddenly fancying that it
would be the greater punishment to her partner to oblige him to talk,
she made some slight observation on the dance.","they stood for some time without speaking a word; and she began to imagine that their silence was to last through the two dances, and, at first, was resolved not to break it; till suddenly fancying that it would be the greater punishment to her partner to oblige him to talk, she made some slight observation on the dance.",326,322,,
1095,"He replied, and was again
silent.","he replied, and was again silent.",34,33,,
1096,"After a pause of some minutes, she addressed him a second time,
with--

“It is your turn to say something now, Mr. Darcy.","after a pause of some minutes, she addressed him a second time, with-- ""it is your turn to say something now, mr. darcy.",126,122,,
1097,"_I talked about the
dance, and you ought to make some kind of remark on the size of the
room, or the number of couples.”

He smiled, and assured her that whatever she wished him to say should be
said.","_i talked about the dance, and you ought to make some kind of remark on the size of the room, or the number of couples."" he smiled, and assured her that whatever she wished him to say should be said.",208,202,,
1098,“Very well, that reply will do for the present.,"""very well; that reply will do for the present.",47,47,
1099,"Perhaps, by-and-by, I
may observe that private balls are much pleasanter than public ones; but
_now we may be silent.”

“Do you talk by rule, then, while you are dancing?”

“Sometimes.","perhaps, by-and-by, i may observe that private balls are much pleasanter than public ones; but now we may be silent."" ""do you talk by rule, then, while you are dancing?"" ""sometimes.",191,183,,
1100,"One must speak a little, you know.","one must speak a little, you know.",34,34,,
1101,"It would look odd to be
entirely silent for half an hour together; and yet, for the advantage of
_some_, conversation ought to be so arranged as that they may have the
trouble of saying as little as possible.”

“Are you consulting your own feelings in the present case, or do you
imagine that you are gratifying mine?”

“Both,” replied Elizabeth archly; “for I have always seen a great
similarity in the turn of our minds.","it would look odd to be entirely silent for half an hour together; and yet, for the advantage of some_, conversation ought to be so arranged as that they may have the trouble of saying as little as possible."" ""are you consulting your own feelings in the present case, or do you imagine that you are gratifying mine?"" ""both,"" replied elizabeth archly; ""for i have always seen a great similarity in the turn of our minds.",431,420,,
1102,"We are each of an unsocial,
taciturn disposition, unwilling to speak, unless we expect to say
something that will amaze the whole room, and be handed down to
posterity with all the éclat of a proverb.”

“This is no very striking resemblance of your own character, I am sure,”
said he.","we are each of an unsocial, taciturn disposition, unwilling to speak, unless we expect to say something that will amaze the whole room, and be handed down to posterity with all the eclat of a proverb."" ""this is no very striking resemblance of your own character, i am sure,"" said he.",292,285,,
1103,"“How near it may be to mine_, I cannot pretend to say.","""how near it may be to mine_, i cannot pretend to say.",55,55,,
1104,"_You_
think it a faithful portrait, undoubtedly.”

“I must not decide on my own performance.”

He made no answer; and they were again silent till they had gone down
the dance, when he asked her if she and her sisters did not very often
walk to Meryton.","_you think it a faithful portrait, undoubtedly."" ""i must not decide on my own performance."" he made no answer; and they were again silent till they had gone down the dance, when he asked her if she and her sisters did not very often walk to meryton.",259,250,,
1105,"She answered in the affirmative; and, unable to resist
the temptation, added, “When you met us there the other day, we had just
been forming a new acquaintance.”

The effect was immediate.","she answered in the affirmative; and, unable to resist the temptation, added, ""when you met us there the other day, we had just been forming a new acquaintance."" the effect was immediate.",192,187,,
1106,"A deeper shade of hauteur overspread his
features, but he said not a word; and Elizabeth, though blaming herself
for her own weakness, could not go on.","a deeper shade of hauteur overspread his features, but he said not a word; and elizabeth, though blaming herself for her own weakness, could not go on.",155,153,,
1107,"At length Darcy spoke, and in a
constrained manner said,--

“Mr.","at length darcy spoke, and in a constrained manner said,-- ""mr.",67,63,,
1108,"Wickham is blessed with such happy manners as may insure his
_making friends; whether he may be equally capable of retaining them,
is less certain.”

“He has been so unlucky as to lose your friendship,” replied Elizabeth,
with emphasis, “and in a manner which he is likely to suffer from all
his life.”

Darcy made no answer, and seemed desirous of changing the subject.","wickham is blessed with such happy manners as may insure his making friends; whether he may be equally capable of retaining them, is less certain."" ""he has been so unlucky as to lose your friendship,"" replied elizabeth, with emphasis, ""and in a manner which he is likely to suffer from all his life."" darcy made no answer, and seemed desirous of changing the subject.",381,371,,
